0	The worst piece of crap ever along with the Verizon customer service.	0
1	I bought it to go with my security camera system, but it did not perform like I thought it would. It doesn't alert us when someone is at the door. Also, I can't talk to the person at the door through the echo show, only through my cell phone.	1
2	I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he dealt with for those many years.  	1
3	And then tragedy struck.	0
4	Worth every penny.	1
5	Big step up from the Dot! Dropped one star due to consistent delay in bringing up Ring Pro video, though looks great once the feed is displayed.	1
6	Bought this for our son as his birthday present and he loves it.  Often find him jamming to music in his room now  :)  He loves the options for the alarms and we have his weekday alarms set to repeat and he gets to sleep in on non-school days.	1
7	Been debating on getting one, but am happy I did! Still more to explore. Thanks!	1
8	Used and dirty.	0
9	All of my echo devices stopped communicating properly with Sonos devices upon connecting the echo show to my account. Asking any echo device to play music on Sonos baffled the system that had previously worked flawlessly. This went on for two weeks until I eventually solved the problem that neither Amazon nor Sonos could figure out.	0
10	However, here there was no decent acting, action or location work to balance things up.  	0
11	daughter wanted a white boombox, nothing good out for 11 yr old.  decided to go echo dot for most any request + white BT good speaker.  she loved the gift and nice option for many things on the internet.	1
12	This was a replacement. It was really easy to set up. I had to reauthorize my smart items to work with the new hub, but installation was easy and instructions were clear.	1
13	There was a warm feeling with the service and I felt like their guest for a special treat.	1
14	Very satisfied with the Echo. Alexa now controls the lights in my family room and my wife can listen to Jimmy Buffet by just asking Alexa.	1
15	Very convenient, since we were staying at the MGM!	1
16	I haven't had my show very long or used it a lot, but I love it! I use it to set timers when cooking because my stove is being finicky and not wanting to work most of the time. I also use it to check for different recipes, listen to music and my all time favorite.... telling everyone it is time for dinner. My son gets a real kick out of that!I know a lot of people are expecting more out of their shows then it is possible to at the moment, but remember the original echo didn't have what it has now when it first came out. I see that Amazon is adding new stuff all the time and soon I am sure it will have all that we want very soon.... maybe even things we haven't thought of!I do wish it was a bit more user friendly. I still haven't figured out how to video chat with my cousin in North Carolina who also has one, and when I tried to call my son's dot it went to video chat immediately, last I looked, dots don't have video screens!Another thing that needs to be addressed is when my husband tried to have the one in our bedroom play thunderstorm sounds to help him go to sleep, it tried to get him to buy an app instead of playing the skill I had enabled that was free. So now he is a bit worried to use it again. That needs to be fixed.I do have to say that all in all I am very happy with my Echo Show!	1
17	Best service and food ever, Maria our server was so good and friendly she made our day.	1
18	Stopped by this place while in Madison for the Ironman, very friendly, kind staff.	1
19	He deserves 5 stars.	1
20	I'm trying to return it for a refund.	0
21	Not even good for camp value!  	0
22	!I definitly recommend!!	1
23	Again, lame.  	0
24	Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  	1
25	It's pretty surprising that this wonderful film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that time.  	1
26	It was a long time that i didn't see a so charismatic actor on screen.  	1
27	⭐⭐⭐⭐⭐	1
28	I like that it responds every time. It was easy to set up.  I'm still learning what I can do with it. I may like a better speaker more.	1
29	What happened next was pretty....off putting.	0
30	The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  	1
31	In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.  	0
32	Buy a different phone - but not this.	0
33	The sound on these is terrible. It’s like a tin can. I love my echo but this item is awful.	0
34	When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  	1
35	I literally vomited while watching this film.  	0
36	We love using it for bedtime reading on Audible. It's very kid-friendly, and I can see liking it in the kitchen while I'm cooking since it's small and unobtrusive. We like it better than our Echo Dot.	1
37	Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.	0
38	I love my little Echo Spot, I have replaced my older full size echo with this little guy. The round screen is an interesting choice and I'm not sure I like the look but it is growing on me. The speakers could be slightly louder but all in all it is a solid echo product.	1
39	I love it and my family loves it also we use it all the time we also like playing the games that you can get on it too!! Great for family game nights	1
40	So far so good. Just got it and I am trying to figure out all the things it can do. The product itself is very well made.. And easy to set up.	1
41	I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!	1
42	My daughter has an Echo Show and she told me how much she loved it. I bought a white one for my kitchen and absolutely love it!  It has all the features of the others plus great extras. The sound system is awesome. I also own the original Echo Tower, Dots and Spot. Each are great and have their uses around my house. I highly recommend all of these products.	1
